Gene	CellType	Rho	PValue	padj	Significance
TOPBP1	Mast cells activated	0.020879138467204135	0.8086474699992484	0.8937682563149588	
TOPBP1	Eosinophils	0.07019893932526881	0.41499490529515737	0.6519386980405705	
TOPBP1	Neutrophils	-0.0882622276748951	0.30507057741493016	0.5605671859999342	
RAD51	B cells naive	-0.13900182667075534	0.10524482457581087	0.3223122752634208	
RAD51	B cells memory	0.07328897787810647	0.3947077452594664	0.6519386980405705	
RAD51	Plasma cells	0.16405380237604683	0.05541525954957909	0.2468497925390341	
RAD51	T cells CD8	0.09052953938545	0.2927654907396038	0.5447661663129336	
RAD51	T cells CD4 naive	0.10051948647185804	0.24251125126161494	0.5242522637567264	
RAD51	T cells CD4 memory resting	-0.16231150854018003	0.05809424149264406	0.25117216174760815	
RAD51	T cells CD4 memory activated	0.1768880453227941	0.03866014415770284	0.19750487396495775	*
RAD51	T cells follicular helper	0.0276931268480319	0.7480350431173381	0.8840170983767595	
RAD51	T cells regulatory (Tregs)	-0.12741372911056392	0.13788079550748067	0.38242409319999354	
RAD51	T cells gamma delta	NA	NA	NA	
RAD51	NK cells resting	-0.03717925833607062	0.6662255806979874	0.8370526526718304	
RAD51	NK cells activated	0.09395652819282266	0.27480041529147914	0.5364879315080098	
RAD51	Monocytes	0.08140738180525858	0.3443071574856935	0.6097970138602042	
RAD51	Macrophages M0	-0.05993202430141139	0.48662636525670144	0.686106662081963	
RAD51	Macrophages M1	0.06509210363745441	0.4498263168238623	0.6747394752357935	
RAD51	Macrophages M2	-0.022451772812662283	0.7945427205723475	0.8937682563149588	
RAD51	Dendritic cells resting	-0.021333531616054523	0.8045655405183673	0.8937682563149588	
RAD51	Dendritic cells activated	0.007765841687146012	0.9282352862015463	0.9699808175193609	
RAD51	Mast cells resting	-0.134793100870035	0.11631447714417653	0.3489434314325296	
RAD51	Mast cells activated	0.09884834177342201	0.2504710219200279	0.5259891460320586	
RAD51	Eosinophils	0.016163186932680405	0.8512967983506224	0.9134352507849743	
RAD51	Neutrophils	-0.058188996281423745	0.4994109717195241	0.686106662081963	
FANCI	B cells naive	0.004182071158428552	0.9613164986576075	0.9813439257129742	
FANCI	B cells memory	0.02095022778831579	0.80800851358195	0.8937682563149588	
FANCI	Plasma cells	0.1407861337359865	0.1008089559814347	0.31529609636746597	
